Title,Article,Summary,Statement,True statement
Astatochroa sulphurata,"Astatochroa sulphurata is a moth in the family Drepanidae. It was described by William Warren in 1907. It is found in Papua New Guinea.The wingspan is about 26 mm for males and 30 mm for females. The forewings of the males are pale yellow, the base of the costa reddish. There are two pale brown lines from the inner margin to vein 6 and the subcostal vein. The outer margin is purplish grey, edged by a brown submarginal line, which form a small black-brown pink-edged blotch on veins 2 and 3 and a smaller one on the inner margin. The hindwings have two brown lines and the apex has a slight purplish-grey tinge. Females have greyish-pink forewings with an olive tinge and purplish lines. The costal area of the hindwings is yellowish.


== References ==","Astatochroa sulphurata is a moth in the family Drepanidae. It was described by William Warren in 1907. It is found in Papua New Guinea. The wingspan is about 26 mm for males and 30 mm for females. The forewings of the males are pale yellow, the base of the costa reddish. There are two pale brown lines from the inner margin to vein 6 and the subcostal vein.",The wingspan of Astatochroa sulphurata is different based on gender.,1
Results of the 1982 Victorian state election (Legislative Council),"This is a list of Legislative Council results for the Victorian 1982 state election. 22 of the 44 seats were contested.


== Results by province ==


=== Ballarat ===


=== Bendigo ===


=== Boronia ===


=== Central Highlands ===


=== Chelsea ===


=== Doutta Galla ===


=== East Yarra ===
Two party preferred vote was estimated.


=== Geelong ===
Two party preferred vote was estimated.


=== Gippsland ===


=== Higinbotham ===


=== Melbourne ===
Two party preferred vote was estimated.


=== Melbourne North ===


=== Melbourne West ===
Two party preferred vote was estimated.


=== Monash ===
Two party preferred vote was estimated.


=== North Eastern ===


=== North Western ===


=== Nunawading ===


=== South Eastern ===


=== Templestowe ===


=== Thomastown ===


=== Waverley ===


=== Western ===


== See also ==
1982 Victorian state election
Members of the Victorian Legislative Council, 1982–1985


== References ==","This is a list of Legislative Council results for the Victorian 1982 state election. 22 of the 44 seats were contested.


 == Results by province ==


=== Ballarat ===


=== Bendigo ===


=== Boronia ===


=== Central Highlands ===


=== Chelsea ===


=== Doutta Galla ===


=== East Yarra ===
Two party preferred vote was estimated.


 === Geelong ===
Two party preferred vote was estimated.


",Two party preferred vote was estimated.,1
Neocompsa alacris,"Neocompsa alacris is a species of beetle in the family Cerambycidae. It was described by Bates in 1885.


== References ==","Neocompsa alacris is a species of beetle in the family Cerambycidae. It was described by Bates in 1885.


 == References ==",Bates described Neocompsa alacris in 1885.,1
CXOU J164710.2−455216,"CXOU J164710.2−455216 is an anomalous X-ray pulsar and magnetar in the massive galactic open cluster Westerlund 1. It is the brightest X-ray source in the cluster, and was discovered in 2005 in observations made by the Chandra X-ray Observatory. The Westerlund 1 cluster is believed to have formed in a single burst of star formation, implying that the progenitor star must have had a mass in excess of 40 solar masses. The fact that a neutron star was formed instead of a black hole implies that more than 95% of the star's original mass must have been lost before or during the supernova that produced the magnetar.On 21 September 2006 the Swift satellite detected a 20ms soft gamma-ray burst in Westerlund 1. Fortuitously, XMM-Newton observations had been made four days earlier, and repeat observations 1.5 days after the burst revealed the magnetar to be the source of the burst, with the X-ray luminosity increasing by a factor of 100 during the outburst.


== References ==

Gavriil, F. P.; Woods, P. M.; Kaspi, V. M. (2006). ""Chandra Target of Opportunity Observations of CXO J164710.2−455216"". The Astronomer's Telegram. 901: 1. Bibcode:2006ATel..901....1G.
cxo-j164710.2-455216","CXOU J164710.2−455216 is an anomalous X-ray pulsar and magnetar in the massive galactic open cluster Westerlund 1. It is the brightest X-ray source in the cluster, and was discovered in 2005 in observations made by the Chandra X-ray Observatory.",Brightest X-ray source in cluster Westerlund 1.,1
Vesna Bedeković,"Vesna Bedeković (born 22 February 1966) is a Croatian pedagog and politician who served as the Minister of Demographics, Family, Youth and Social Policy from July 2019 to July 2020 in the cabinet of Andrej Plenković.


== Early life and education ==
Born on 22 February 1966 in Bjelovar, Bedeković attended elementary school in Pitomača, and secondary school in Virovitica. She graduated from the Faculty of Pedagogy at the University of Josip Juraj Strossmayer in Osijek, and from the Department of Pedagogy at the Faculty of Humanities and Social Sciences at the University of Zagreb.


== Pedagogical career ==
Bedeković began her career at the Kloštar Podravski Primary School, the Petar Preradović Primary School in Pitomača and the Central School Stjepan Sulimanac in Pitomača, in the period between 1987 and 2006. From 2005 to 2009, he served as Head of the Administrative Department for Education, Culture, Sports and Technical Culture and Head of the Department of Social Activities of the Virovitica-Podravina County. At the same time, she was teaching at the Faculty of Teacher Education and Faculty of Philosophy at the University of Josip Juraj Strossmayer in Osijek and at the Faculty of Philosophy at the University of Zagreb.
From 2007 to 2009, Bedeković has served as a temporary dean, and from 23 March 2009 to 13 October 2016, she was a Dean of the High School of Management in Tourism and Informatics in Virovitica. She left the dean's office when joined the Parliament in October 2016.
Bedeković is a member of the Croatian Pedagogical Society and International Association for Intercultural Education (IAIE) and has worked, inter alia, on scientific projects linking interculturality and minority language education and access to Roma integration as well as the development of creativity in lifelong education of teachers.


== Political career ==
From 14 October 2016 to 19 July 2019, Bedeković was a member of the Croatian Parliament, replacing former Minister of Agriculture  Tomislav Tolušić on the spot of deputy MP and thus entered the Croatian legislative body even though she won only 0.83 percent of the votes in the elections, convincingly least at HDZ list. In the Parliament, she was a member of the Gender Equality Committee, and after Andro Krstulović Opara took the mayor's office in Split, she took over the chairmanship of the Parliamentary Committee on Education, Science and Culture.


== Personal life ==
Bedeković is married and has two daughters. 


== See also ==
Cabinet of Andrej Plenković I


== References ==","Vesna Bedeković (born 22 February 1966) is a Croatian pedagog and politician who served as the Minister of Demographics, Family, Youth and Social Policy from July 2019 to July 2020 in the cabinet of Andrej Plenković.


",Vesna Bedeković served as Minister of Demographics.,1
Palakollu mandal,"Palakollu mandal is one of the 46 mandals in the West Godavari district of the Indian state of Andhra Pradesh. The headquarters is located at Palakollu City. The mandal is bordered by Yelamanchili mandal in the north, Narasapuram mandal in the east, Poduru mandal in the south and Veeravasaram mandal in the west.


== Demographics ==
As of the 2011 census, the mandal has a population of 258,625 in 48,377 households. The total population consists of 125,535 men and 5,872 women with a sex ratio of 1,010 women per 1000 men. 12,044 children are in the age group of 0–6 years, of which 6,172 are boys and 6,064 are girls with a sex ratio of 951 girls per 1000 boys. The average literacy rate stands at 82.99% with 97,653 literates, of which 50,723 are men and 46,930 are women.
The majority of the population is identified as Scheduled Caste with a population of 27,110, whereas those identified as Scheduled Tribe number 1,218.


=== Work Profile ===
As per the report published by Census India in 2018, 154,149 people are engaged in work activities out of a total population of 258,625. 98,647 workers describe their work as main work, 2,389 as cultivators, 20,355 as agricultural labourers, 2,371  in the household industry and 23,532 involved in other works. Of these, 5,502 are marginal workers.


== Administration ==
Palakollu mandal is administered under Palakollu (Assembly constituency) of Narsapuram (Lok Sabha constituency) and is one of the twelve mandals that fall under the Narasapuram revenue division.


== City and villages ==
As of the 2011 census, the mandal has 20 settlements, Witch is Includes 1 City 3 out growths and 17 villages. In Palakollu Mandal.
Palakollu Rural, Poolapalli, and Ullamparru Full OG's to Palakollu (M). Palakollu Rural is the largest and Chandaparru is the smallest village in terms of population.The settlements in the mandal are listed below:

Note: 

M-Municipality
(OG) denotes an Out Growth


== Education ==
The mandal plays a major role in the education of rural students in the nearby villages. The primary and secondary school education is imparted by the government in aided and private schools, under the School Education Department of the state. As per the school information report for the academic year 2015–16, the mandal has more than 19,727 students enrolled in over 149 schools.


== See also ==
List of mandals in Andhra Pradesh
Eluru


== References ==","Palakollu mandal is one of the 46 mandals in the West Godavari district of the Indian state of Andhra Pradesh. The headquarters is located at Palakollu City. The mandal is bordered by Yelamanchili mandal in the north, Narasapuram mandal in the east, Poduru mandal in the south and Veeravasaram mandal in the west.


",Palakollu mandal is located in Andhra Pradesh.,1
"1987 World Championships in Athletics – Women's 10,000 metres","The women's 10,000 metres event featured at the 1987 World Championships in Rome, Italy. There were a total number of 37 participating athletes, with the final being held on 4 September 1987.


== Medalists ==


== Records ==
Existing records at the start of the event.


== Final ==


== Heats ==
Held on Monday 31 August 1987


== See also ==
1986 Women's European Championships 10,000 metres (Stuttgart)
1988 Women's Olympic 10,000 metres (Seoul)
1990 Women's European Championships 10,000 metres (Split)
1991 Women's World Championships 10,000 metres (Tokyo)


== References ==
Results
Results - World Athletics","The women's 10,000 metres event featured at the 1987 World Championships in Rome, Italy. There were a total number of 37 participating athletes, with the final being held on 4 September 1987.


 == Medalists ==


== Records ==
Existing records at the start of the event.


","37 athletes competed in the women's 10,000 metres.",1
Carex myosuroides,"Carex myosuroides (syn. Kobresia myosuroides), the mouse-tail bog sedge, is a species of sedge (family Cyperaceae) with a circumboreal distribution. It is the only known sedge to have ectomycorrhizal associations.It is a known host to a number of fungi, including Anthracoidea elynae, Arthrinium puccinioides, Cladosporium herbarum, Clathrospora elynae, Lophodermium caricinum, Phaeosphaeria herpotrichoides, Schizonella melanogramma, Septoria punctoidea and possibly to Micropeziza cornea.


== References ==","Carex myosuroides (syn. Kobresia myosuroides), the mouse-tail bog sedge, is a species of sedge (family Cyperaceae) with a circumboreal distribution. It is the only known sedge to have ectomycorrhizal associations.",Carex myosuroides has ectomycorrhizal associations.,1
Absement,"In kinematics, absement (or absition) is a measure of sustained displacement of an object from its initial position, i.e. a measure of how far away and for how long. The word absement is a portmanteau of the words absence and displacement. Similarly, absition is a portmanteau of the words absence and position.Absement changes as an object remains displaced and stays constant as the object resides at the initial position. It is the first time-integral of the displacement (i.e. absement is the area under a displacement vs. time graph), so the displacement is the rate of change (first time-derivative) of the absement. The dimension of absement is length multiplied by time. Its SI unit is meter second (m·s), which corresponds to an object having been displaced by 1 meter for 1 second. This is not to be confused with a meter per second (m/s), a unit of velocity, the time-derivative of position.
For example, opening the gate of a gate valve (of rectangular cross section) by 1 mm for 10 seconds yields the same absement of 10 mm·s as opening it by 5 mm for 2 seconds. The amount of water having flowed through it is linearly proportional to the absement of the gate, so it is also the same in both cases.


== Occurrence in nature ==
Whenever the rate of change f′ of a quantity f is proportional to the displacement of an object, the quantity f is a linear function of the object's absement. For example, when the fuel flow rate is proportional to the position of the throttle lever, then the total amount of fuel consumed is proportional to the lever's absement.
The first published paper on the topic of absement introduced and motivated it as a way to study 
flow-based musical instruments, such as the hydraulophone, to model empirical observations of some hydraulophones in which obstruction of a water jet for a longer period of time resulted in a buildup in sound level, as water accumulates in a sounding mechanism (reservoir), up to a certain maximum filling point beyond which the sound level reached a maximum, or fell off (along with a slow decay when a water jet was unblocked).  Absement has also been used to model artificial muscles, as well as for real muscle interaction in a physical fitness context.  Absement has also been used to model human posture.As the displacement can be seen as a mechanical analogue of electric charge, the absement can be seen as a mechanical analogue of the time-integrated charge, a quantity useful for modelling some types of memory elements.


== Applications ==
In addition to modeling fluid flow and for Lagrangian modeling of electric circuits, absement is used in physical fitness and kinesiology to model muscle bandwidth, and as a new form of physical fitness training.  In this context, it gives rise to a new quantity called actergy, which is to energy as energy is to power.  Actergy has the same units as action (joule-seconds) but is the time-integral of total energy (time-integral of the Hamiltonian rather than time-integral of the Lagrangian).
Fluid flow in a throttle:

A vehicle's distance travelled results from its throttle's absement. The further the throttle has been opened, and the longer it's been open, the more the vehicle's travelled.


== Relation to PID controllers ==
PID controllers are controllers that work on a signal that is proportional to a physical quantity (e.g. displacement, proportional to position) and its integral(s) and derivative(s), thusly defining PID in the context of Integrals and Derivatives of a position of a control element in the Bratland sense
depending on the type of sensor inputs, PID controllers can contain gains proportional to position, velocity, acceleration or the time integral of position (absement)…
Example of PID controller (Bratland 2014):

P, Position;
I, Absement;
D, Velocity.


== Higher integrals ==
Just as displacement and its derivatives form kinematics, so do displacement and its integrals form ""integral kinematics"", giving rise to the ordered list of n-th derivatives of displacement:


== Strain absement ==
Strain absement is the time-integral of strain, and is used extensively in mechanical systems and memsprings:

a quantity called absement which allows mem-spring models to display hysteretic response in great abundance.


== Anglement ==
Absement originally arose in situations involving valves and fluid flow, for which the opening of a valve was by a long ""T""-shaped handle, which actually varied in angle rather than position.  The time-integral of angle is called ""anglement"" and it is approximately equal or proportional to absement for small angles, because the sine of an angle is approximately equal to the angle for small angles.


== Phase space: Absement and momentement ==
In regards to a conjugate variable for absement, the time-integral of momentum, known as momentement, has been proposed.This is consistent with Jeltsema's 2012 treatment with charge and flux as the base units rather than current and voltage.


== References ==


== External links ==
 Media related to Absement at Wikimedia Commons","In kinematics, absement (or absition) is a measure of sustained displacement of an object from its initial position, i.e. a measure of how far away and for how long. The word absement is a portmanteau of the words absence and displacement. Similarly, absition is a portmanteau of the words absence and position. Absement changes as an object remains displaced and stays constant as the object resides at the initial position.",Absement is a measure of sustained displacement.,1
Hajj Mohammad Alishah,"Hajj Mohammad Alishah (Persian: حاج محمد عليشاه, also Romanized as Ḩājj Moḩammad ‘Alīshāh) is a village in Jahanabad Rural District, in the Central District of Hirmand County, Sistan and Baluchestan Province, Iran. At the 2006 census, its population was 48, in 11 families.


== References ==","Hajj Mohammad Alishah (Persian: حاج محمد عليشاه, also Romanized as Ḩājj Moḩammad ‘Alīshāh) is a village in Jahanabad Rural District, in the Central District of Hirmand County, Sistan and Baluchestan Province, Iran. At the 2006 census, its population was 48, in 11 families.


 == References ==",Hajj Mohammad Alishah is a village in Iran.,1
Their Satanic Majesties' Second Request,"Their Satanic Majesties' Second Request is the fourth studio album by American psychedelic rock band The Brian Jonestown Massacre. It was released on June 18, 1996, by record label Tangible and distributed by Bomp! Records, and is the second of three full-length albums released by the band that year.


== Recording ==
Their Satanic Majesties' Second Request was recorded in 1995 at Bloody Angle Studios.


== Content ==
The album's title and music is influenced by The Rolling Stones' 1967 album Their Satanic Majesties Request.Their Satanic Majesties' Second Request reveals vast experimentation with Indian drones, sitars, mellotrons, farfisas, didgeridoos, tablas, congas, and glockenspiels. Following in the footsteps of Keith Richards and Brian Jones, BJM capture and explore the psychedelic rock sound of the late 1960s. The opening track, All Around You (Intro), pays tribute to the showmanship of the Stones, calling one and all to the psychedelic trip that they are about to experience.The song ""Donovan Said"" is itself a tribute to Donovan's ""The Fat Angel"", mimicking the vocal patterns of the verse at about a 3/4's of the speed.


== Critical reception ==
AllMusic's Jason Ankeny wrote: ""their music is too rich to be merely retro, and too knowing to be merely slavish – the Stones themselves haven't made a record this strong or entertaining in years.""According to David Chang in Roadrunner, Anthony Bourdain told him that ""Anemone"" was his favorite song.


== Track listing ==
All songs on the album were written by Anton Newcombe, except for ""No Come Down"" and ""Miss June '75"", written by Matt Hollywood.

Side A""All Around You (Intro)"" – 5:35
""Cold to the Touch"" – 3:20
""Donovan Said"" – 4:42
""In India You"" – 3:40Side B""No Come Down"" – 5:48
""(Around You) Everywhere"" – 0:56
""Jesus"" – 6:30
""Before You"" – 1:59
""Miss June '75"" – 7:33Side C""Anenome"" – 5:34
""Baby (Prepraise)"" – 0:30
""Feelers"" – 5:27
""Bad Baby"" – 8:22Side D""Cause, I Lover"" – 1:17
""(Baby) Love of My Life"" – 1:06
""Slowdown (Fuck Tomorrow)/Here It Comes"" – 6:46
""All Around You (Outro)"" – 4:48


== Personnel ==
Anton Newcombe – guitar, sitar, organ, vocals
Matt Hollywood – bass, guitar, vocals, backing vocals
Dean Taylor – guitar
Joel Gion – percussion
Brian Glaze – drums
Mara Keagle – guitar, percussion, vocals (""Anemone""), backing vocalsThe liner notes also contain a list of instruments appearing on the album:

""acoustic guitar, sitar, clavs, mellotron, tambora, echoplex-feedback-generator, electric guitar, dumbek, tablas, flute, farfisa, recorder, tape loops, drums, acoustic bass, shinni, chanter, didgeridoo, vox jaguar, French horn, viola, tuba, SMS serge, 12-string electric guitar, harmonium, tambourines, cabasa, conga, jimbe, accordion, celeste, glockenspiel, bells, fish, piano, hammond, cello, wolf horn, maracas, weird-fucking-Chinese-shit, tyco drum, vibes, woodwinds and other top secret crap.""


== References ==","Their Satanic Majesties' Second Request is the fourth studio album by American psychedelic rock band The Brian Jonestown Massacre. It was released on June 18, 1996, by record label Tangible and distributed by Bomp! Records, and is the second of three full-length albums released by the band that year.


 == Recording ==
Their Satanic Majesties' Second Request was recorded in 1995 at Bloody Angle Studios.


",Recorded at Bloody Angle Studios.,1
Princess Johanna Charlotte of Anhalt-Dessau,"Johanna Charlotte of Anhalt-Dessau (6 April 1682 – 31 March 1750) was a princess of Anhalt-Dessau from the House of Ascania by birth and Margravine of Brandenburg-Schwedt by marriage.  From 1729 until her death she was abbess of Herford Abbey.


== Life ==
Johanna Charlotte was the youngest daughter of John George II, Prince of Anhalt-Dessau (1627–1693), from his marriage to Henriette Catherine of Nassau (1637–1708), daughter of Prince Frederick Henry of Orange. The princess was able to take advantage of a careful and comprehensive education.
On 25 January 1699 she married Philip William, Margrave of Brandenburg-Schwedt (1669–1711), in Oranienbaum.  Although the couple had their own palace in Berlin, they lived mostly in Schwedt.  After the death of her husband, Johanna Charlotte went back to Berlin and looked after the education of her children.
In 1729, she had herself elected abbess of Herford Abbey, which stood under Prussian protection.  She was sworn in as the new abbess on 10 October 1729, but lived at first in Buchholz, Schaumburg.  It was not until 1735 that she took up permanent residence in Herford. Later in 1729, she added a secular order to her abbey and accepted 17 canonesses.  She appointed Hedwig Sophie of Schleswig-Holstein-Gottorp as her coadjutor.  Hedwig Sophie later became her successor.
Johanna Charlotte died of an ""apoplexy"", without being ill, in the night of 30 to 31 March 1750.  She was buried in the crypt of the Collegiate Chapel of Herford, which had just been renovated.


== Issue ==
From their marriage, Charlotte Johanna had the following children:

Frederick William (1700–1771), Margrave of Brandenburg-Schwedtmarried in 1734 princess Sophie of Prussia (1719–1765)Friederike Dorothea Henriette (1700–1701)
Henriette Marie (1702–1782)married in 1716 Prince Frederick Louis of Württemberg (1698–1731)George William (1704–1704)
Frederick Henry (1709–1788), Margrave of Brandenburg-Schwedtmarried in 1739 princess Leopoldine Marie of Anhalt-Dessau (1716–1782)Charlotte (1710–1712)


== References ==
Johann Samuel Ersch: Allgemeine encyclopädie der wissenschaften und künste in alphabetischer folge, section 2, part 21, Leipzig, 1842, p. 477 ff


== Footnotes ==","Johanna Charlotte of Anhalt-Dessau (6 April 1682 – 31 March 1750) was a princess of Anhalt-Dessau from the House of Ascania by birth and Margravine of Brandenburg-Schwedt by marriage.   From 1729 until her death she was abbess of Herford Abbey.


",Abbess of Herford Abbey.,1
Sport Sáenz Peña,"Sáenz Peña was a Peruvian football club, located in the city of Callao. The club played in Primera Division Peruana from 1919 until 1921.


== Honours ==


=== National ===
Peruvian Primera División: 0Runner-up (1): 1919


== See also ==
List of football clubs in Peru
Peruvian football league system


== External links ==
La difusión del fútbol en Lima (Spanish)
RSSSF - Peru - List of Champions
Peruvian football seasons","Sáenz Peña was a Peruvian football club, located in the city of Callao. The club played in Primera Division Peruana from 1919 until 1921.


",Sáenz Peña played in Primera Division Peruana.,1
IEEE Edison Medal,"The IEEE Edison Medal is presented by the Institute of Electrical and Electronics Engineers (IEEE) ""for a career of meritorious achievement in electrical science, electrical engineering, or the electrical arts."" It is the oldest medal in this field of engineering.   The award consists of a gold medal, bronze replica, certificate, and honorarium.  The medal may only be awarded to a new leap/breakthrough in the technological area of science.


== Background ==
The Edison Medal, named after the inventor and entrepreneur Thomas Edison, was created on 11 February 1904 by a group of Edison's friends and associates. Four years later the American Institute of Electrical Engineers (AIEE) entered into an agreement with the group to present the medal as its highest award. The first medal was presented in 1909 to Elihu Thomson. Other recipients of the Edison Medal include George Westinghouse, Alexander Graham Bell, Nikola Tesla, Michael I. Pupin, Robert A. Millikan (Nobel Prize 1923), and Vannevar Bush. A complete and authoritative list is published by the IEEE online.After the merger of AIEE and the Institute of Radio Engineers (IRE), in 1963, to form the IEEE, it was decided that IRE's Medal of Honor would be presented as IEEE's highest award, while the Edison Medal would become IEEE's principal medal.
Twelve persons with an exceptional career in electrical engineering received both the IEEE Edison Medal and the IEEE Medal of Honor, namely Edwin Howard Armstrong, Ernst Alexanderson, Mihajlo Pupin, Arthur E. Kennelly, Vladimir K. Zworykin, John R. Pierce, Sidney Darlington, James L. Flanagan, Nick Holonyak, Robert H. Dennard, Dave Forney, and Kees Schouhamer Immink.


== Recipients ==
Source


== See also ==
List of engineering awards
List of physics awards
List of prizes named after people


== References ==


== External links ==
IEEE Edison Medal page at IEEE
Complete List of Edison Medal Recipients
IEEE Edison Medal Nomination Form
New York Times on the Edison Medal
IEEE Edison Medal page at IEEE Global History Network","The IEEE Edison Medal is presented by the Institute of Electrical and Electronics Engineers (IEEE) ""for a career of meritorious achievement in electrical science, electrical engineering, or the electrical arts."" It is the oldest medal in this field of engineering.    The award consists of a gold medal, bronze replica, certificate, and honorarium.   The medal may only be awarded to a new leap/breakthrough in the technological area of science.


",The IEEE Edison Medal is the oldest medal in electrical engineering.,1
